set_number,set_title,term,meaning,mnemonic,part_of_speech,example,synonyms
7,Set 07,Salubrious,স্বাস্থ্যকর,SALad BRIngs US health,,They moved to a more salubrious climate for his health.,"wholesome, salutary, luxurious, grand"
7,Set 07,Sanction,অনুমোদন / নিষেধাজ্ঞা,I SAy aCTION,,The committee refused to sanction the new proposal.,"deterrent, embargo, boycott, acquiescence, approbation, accreditation, ratification"
7,Set 07,Sedulous,উদ্যমী,Sidhu was fabulous উদ্যমী,,Her sedulous preparation earned her the top score.,"meticulous, assiduous, industrious, laborious, punctilious, scrupulous, painstaking, pedantic"
7,Set 07,Soporific,ঘুমপাড়ানি,SO PoOR Fiction,,The lecture's monotone had a soporific effect on us.,"somnolent, calmative, tranquillizing, opiate, somnific"
7,Set 07,Stern,কঠোর,Sharp TuRN,,The stern principal rarely smiled at the students.,"stringent, exacting, authoritarian, draconian, grim, austere"
7,Set 07,Tendentious,উদ্দেশ্যপ্রণোদিত / পক্ষপাতমূলক,bIAS TENDENCY,,"The report was tendentious, ignoring all opposing evidence.","partisan, biased"
8,Set 08,Accentuate,কোন কিছুকে দৃষ্টি আকর্ষক করা,ACCENT Up,,The bright coloured eyeliner will accentuate Maria's beautiful eyes.,"underline, underscore, spotlight, foreground"
8,Set 08,Conjectural,ধারণা থেকে বলা / অনুমানমূলক,CON (কে) JE (যে) ChuRAL (ডাইনী) — আন্দাজে বলা,,Theories about the extinction of dinosaurs are still highly conjectural.,"putative, abstract, postulated, inferred, presupposed, tentative, groundless"
8,Set 08,Convivial,প্রফুল্ল,CONvocation CarNIVAL,,Elmee was very convivial during her convocation.,"genial, affable, amiable, congenial, gregarious, jovial, couthy"
8,Set 08,Decadent,মূল্যবোধের অবক্ষয় / অধঃপতিত / অপচয়কারী,DECAy (ক্ষয়) + DENT (গর্ত),,Education will expose the true decadent nature of society.,"dissolute, dissipated, depraved, louche, rakish, wanton, profligate, sybaritic, voluptuary, epicurean, indulgent"
8,Set 08,Egregious,জঘন্য,GRE score outRaGeOUS,,"Regarding GRE, he told an egregious lie.","ghastly, horrendous, abominable, abhorrent, harrowing, dire, flagrant, blatant, outrageous"
8,Set 08,Evanescent,বিলীন হয়ে যাচ্ছে এমন / ক্ষণস্থায়ী,VANishing SCENT এর মত,,Evan uses a mild scent which is evanescent.,"dwindling, fugitive, fugacious, ephemeral, transient"
8,Set 08,Flamboyant,লোকদেখানো,FLAMing BOY,,Neymar is very flamboyant.,"ostentatious, exuberant"
8,Set 08,Forestall,প্রতিরোধ করা,beFORE STALL (থামানো),,The host forestalled Ilias Kanchan as he was speaking.,"thwart, avert, preclude, obviate, hinder, impede"
8,Set 08,Gainsay,অস্বীকার / বিরোধিতা করা,বেশি ওজন GAIN করায় খাবার অস্বীকার,,Sourodip Paul's final speech of WUDC 2022 was hard to gainsay.,"repudiate, debunk, refute, rebut, controvert"
8,Set 08,Galvanize,ঝালাই / উদ্দীপ্ত করা,VAN full of GirLs galvanize the machine,,The water pipe needs galvanizing.,"invigorate, vitalize, exhilarate, dynamize"
8,Set 08,Indiscriminate,নির্বিচার,IN (না) DISCRIMINATION (বৈষম্য),,"Nuclear bombs are indiscriminate, as are earthquakes.","haphazard, heterogeneous, motley, chaotic"
8,Set 08,Innocuous,নিরীহ,INNOCent to US,,The storm didn't appear as innocuous as forecast.,"innoxious, insipid, anodyne"
8,Set 08,Momentary,ক্ষণস্থায়ী,MOMENT চলে যায় তাড়া-তাড়ি,,There was no momentary hesitation before Sulaiman Sukhon replied.,"transient, transitory, ephemeral, evanescent, fugitive, fugacious"
8,Set 08,Mundane,পার্থিব / নিস্তেজ,Monday is MUNDANE,,"After the weekend, you know what's mundane.","humdrum, prosaic, quotidian, banal, hackneyed, trite, materialistic"
8,Set 08,Nettlesome,জ্বালাময় / বিরক্তিকর,NETTLE (বিছুটি) SOME,,Karina Kaisar's contents are nettlesome.,
8,Set 08,Nullify,বাতিল / নাকচ / খারিজ করা,NUL (অন্তঃসারশূন্য) প্রমাণ করা,,Don Sumdany's banal talks were nullified.,"rescind, abrogate, veto, obliterate"
8,Set 08,Obviate,নিবারণ / পরিত্যাগ করা,aVoId IT,,The new medical treatment obviates the need for surgery.,"preclude, avert"
8,Set 08,Omnipresent,সর্বব্যাপী,OMNI (অমনি) PRESENT,,These days the CCTV camera is omnipresent.,"ubiquitous, rife, prevalent"
8,Set 08,Oust,উচ্ছেদ / উৎখাত করা,OUT,,Golam Rabbani was ousted over an extortion accusation.,"depose, topple, purge, banish, deport, exile"
8,Set 08,Palpable,স্পষ্ট / ধরা যায় এমন,PALP (স্পর্শ করা) ABLE,,The woman's sorrow was raw and palpable.,"discernible, observable, tangible, evident, apparent, conspicuous"
8,Set 08,Perfidy,বিশ্বাসঘাতকতা / বেঈমানি,PER FI (Fee) DY (দেই),,Ileana D'Cruz portrayed perfidy in the movie Barfi.,"perfidiousness, infidelity, falsity, treachery"
8,Set 08,Profuse,প্রচুর,PROduce FUSE,,Hero Alom made profuse apologies.,"copious, prolific, extravagant, effusive, inordinate"
8,Set 08,Pugnacious,লড়াইপ্রিয় / ঝগড়াটে,PUbG OUS (পরায়ণ) — পাঙ্গাপ্রবণ,,Donald Trump is very pugnacious.,"contentious, defiant, truculent, irascible, belligerent"
8,Set 08,Sagacious,বিচক্ষণ,SAGA-তে CI রাখার OUS (প্রবণতা),,"Dr. Saleemul Huq was a shrewd, sagacious man.","astute, shrewd, prudent, percipient, sapient, discerning, canny"
8,Set 08,Sanguine,আশাবাদী / রক্তিম,SANG (গেয়েছিল) UIN (win),,He seemed quite sanguine about his chances of success.,"buoyant, erubescent, rubescent, reddish"
8,Set 08,Scant,স্বল্প / খুবই কম,SCArcity + NT,,You paid scant attention to what your teacher was saying.,"exiguous, meagre, deficient"
8,Set 08,Skulduggery,অসততা,SKUL (খুলি) DUG (খনন করা),,Mohammad Rassel is serving a prison sentence for financial skulduggery.,"machinations, hanky-panky, unscrupulousness, chicanery"
8,Set 08,Trivial,তুচ্ছ / নগণ্য,Thanking RIVAL,,Will Smith got angry over a trivial joke.,"fiddling, paltry, nugatory, flimsy, frivolous, trifling"
8,Set 08,Utilitarian,উপযোগী,UTILITy + AN (আন),,"The office furniture was plain and utilitarian, built for function over looks.","pragmatic, practical, functional"
8,Set 08,Vapid,নিস্তেজ / আকাইম্মা,not rAPID,,The vapid meeting bored me.,"feeble, zestless, trite, insipid, colourless"
9,Set 09,Boorish,অভদ্র / অমার্জিত / কর্কশ,বরিস জনসন এর মত খারাপ আচরণকারী,,His boorish behaviour at dinner embarrassed everyone.,"coarse, impolite, churlish, barbarous, philistine, unrefined"
9,Set 09,Brook,সহ্য করা / ছোট নদী,"BRO, it's OK that you're BROKe",,The strict teacher would brook no excuses.,"creek, tolerate, abide, countenance"
9,Set 09,Circumspect,সতর্ক,Circumstance Inspect,,Be circumspect when sharing personal data online.,"wary, heedful, vigilant, prudent, canny, discreet"
9,Set 09,Comity,ভদ্রতা / শিষ্টতা,Committee for COMITY,,The two nations maintained a spirit of comity at the summit.,
9,Set 09,Commensurate,সদৃশ,COMMon ENSURe same RATE,,Her salary is commensurate with her experience.,"corresponding, correspondent, commensurable, parallel, equivalent"
9,Set 09,Cordial,সৌহার্দ্যপূর্ণ / শরবত,COR (কর) DIAL শরবত আনতে,,They exchanged cordial greetings at the door.,"genial, affable, amiable"
9,Set 09,Deleterious,ক্ষতিকর,DELETE vIRUS,,Smoking has a deleterious effect on health.,"inimical, adverse, pernicious, ruinous"
9,Set 09,Dichotomy,দ্বিধাবিভক্তি / বৈপরীত্য,DI (দুই) CHOTO (ছোটো) MY,,There is a false dichotomy between work and rest.,"gulf, chasm, polarity, antagonism, contrariety"
9,Set 09,Edify,বুঝানো / নৈতিকভাবে গড়ে তোলা,moDIFY morality,,The documentary aimed to edify young viewers.,"inculcate, indoctrinate, elevate"
9,Set 09,Elicit,প্রকাশ করা / ভেতর থেকে বের করে আনা,aLICE will find IT,,The lawyer tried to elicit a confession from the witness.,"induce, prompt, engender, kindle, extort"
9,Set 09,Erudite,পাণ্ডিত্যপূর্ণ,ER (এর চেয়ে) UDvash IT,,The erudite professor cited his sources from memory.,"lettered, sagacious, donnish, cerebral, pedantic, esoteric, recondite, sapient"
9,Set 09,Fecund,উর্বর / বহুপ্রজ / চিন্তাশীল,F*ck aND (reproduce),,The fecund soil produced three harvests a year.,"fertile, fruitful, prolific, fructuous"
9,Set 09,Feeble,দুর্বল / নিস্তেজ,FrEE (ছাড়া) BoL (শক্তি),,The patient gave a feeble wave from the bed.,"puny, enfeebled, enervated, tottery, etiolated, craven, inept, paltry, futile"
9,Set 09,Felicitous,আনন্দদায়ক / যথাযথ,FELI CI TO US,,She made a felicitous choice of words in her toast.,"apposite, pertinent, germane, congruous, lucky, appropriate"
9,Set 09,Forbear,বিরত থাকা,FORget BEeR,,Please forbear from smoking inside the building.,"abstain, desist, eschew"
9,Set 09,Haphazard,এলোমেলো / আকস্মিক,HAP (আকস্মিক) HAZARD (বিপদ),,The files were stored in a haphazard manner.,"indiscriminate, chaotic, arbitrary, slapdash, slipshod"
9,Set 09,Hodgepodge,জগাখিচুড়ি,HOtchPOtch (খিচুড়ি),,The essay was a hodgepodge of unrelated ideas.,"assortment, ragbag, melange, jumble"
9,Set 09,Impede,বাধা দেওয়া / প্রতিরোধ করা,I'M like PED (গাছ),,Heavy traffic impeded the ambulance's progress.,"obstruct, hamper, thwart, balk, cumber"
9,Set 09,Impetuous,তাড়াহুড়া,I'M PETU (পেটুক),,His impetuous decision to quit surprised everyone.,"heedless, imprudent, spontaneous, impromptu, precipitate"
9,Set 09,Irascible,রগচটা / খিটখিটে,IRAn SCIence biBLE,,The irascible old man shouted at the children.,"waspish, peevish, captious, fractious, iracund, impulsive"
9,Set 09,Mercenary,ভাড়াটে সৈনিক / লোভী,MERChant for war,,Her motives for the marriage were purely mercenary.,"avaricious, covetous, rapacious, venal, materialistic"
9,Set 09,Meticulous,অতিসতর্ক / খুঁতখুঁতে,MET in ICU,,He kept meticulous records of every expense.,"conscientious, scrupulous, punctilious, painstaking, fastidious, pedantic, laborious"
9,Set 09,Mordant,জ্বালাময় / তিক্ত,MORe DANT (দাঁত),,The critic's mordant review stung the director.,"trenchant, acerbic, sardonic, scathing, pungent, incisive, polemic, virulent, vitriolic, waspish, corrosive, destructive"
9,Set 09,Outstrip,অতিক্রম করা / ছাড়িয়ে যাওয়া,OUT (বাইরে) STRIP (খোলা),,Demand quickly outstripped supply.,"overshadow, eclipse, surmount"
9,Set 09,Precarious,অনিশ্চিত / নিরাপত্তাহীন,PRE (সামনে) CAR US,,The company is in a precarious financial position.,"perilous, dubious, dodgy"
9,Set 09,Quirky,অদ্ভুত,QUIcKLY,,"The café had a quirky, mismatched decor.","eccentric, idiosyncratic, peculiar, zany, kinky"
9,Set 09,Repudiate,প্রত্যাখ্যান করা,REfuse to PUDIng ATE,,He publicly repudiated his earlier statement.,"abjure, recant, gainsay, controvert, refute, forsake"
9,Set 09,Tact,কৌশল / বিচক্ষণতা,Talented ACT with TACTics,,She handled the complaint with great tact.,"prudence, decorum, savvy, perception, subtlety"
9,Set 09,Trifling,তুচ্ছ,TRIvial FeeLING,,They argued over a trifling sum of money.,"trivial, petty, incidental, frivolous, superficial, piddling, exiguous"
9,Set 09,Turbulent,অশান্ত,TURBo (ইঞ্জিন) LENT (ধার),,The plane shook during the turbulent flight.,"tempestuous, stormy, unstable, unsettled, tumultuous, chaotic, anarchic, agitated, boisterous"
10,Set 10,Acumen,সূক্ষ্ম বিচারশক্তি,iq MEN,,"If you have acumen, you are very sharp at what you do.","shrewdness, acuity, discernment, sagacity, perspicacity, ingenuity, savvy"
10,Set 10,Antithesis,বৈপরীত্য,ANTI (বিপরীত) THESIS,,He stood up with an antithesis of my thesis.,"contrast, opposite, converse, reverse"
10,Set 10,Ascribe,নিযুক্ত / আরোপ করা,A subsCRIBE,,I did not ascribe any intentions to this project.,"attribute, accredit, impute, appoint"
10,Set 10,Befuddle,হতবুদ্ধি করা,BE FUDDLE (মদ খাওয়া),,This question befuddled even the teacher.,"bewildered, fazed, perplexed, stupefied, fuddled, benumbed, vague"
10,Set 10,Eschew,পরিহার / বর্জন করা,EScape from CHEWing gum,,"If you live the bohemian life in the city, then most likely you eschew the suburbs.","shun, abjure, relinquish, gainsay, repudiate, abnegate, abdicate, forsake"
10,Set 10,Esoteric,রহস্যময় / অল্প কিছু মানুষ বোঝে,SO few understand this eStORy,,The courses seemed esoteric and disconnected from the race and poverty issues.,"abstruse, arcane, recondite, abstract, perplexing, enigmatic, inscrutable, unfathomable, involuted, convoluted"
10,Set 10,Evasive,ছলনা করে বিপদ এড়ানো,EVAde exploSIVE,,Pilots are taught to take evasive action.,"prevaricating, elusive, ambiguous, equivocal, vague, enigmatic, perplexing, gnomic"
10,Set 10,Exculpate,কাউকে নির্দোষ ঘোষণা করা,EX CULPriT (আগে দোষী),,"Raiyan isn't a bad man by nature, but that doesn't exculpate him of the crime.","absolve, acquit, exonerate, vindicate"
10,Set 10,Expedite,ত্বরান্বিত করা,EXtra sPEeD,,I will try to expedite the matter.,"hasten, precipitate, facilitate, stimulate"
10,Set 10,Fastidious,মনোযোগী ও ধৈর্যশীল / খুঁতখুঁতে,FuSsy & TeDIOUS,,She's very fastidious about personal cleanliness.,"scrupulous, punctilious, painstaking, meticulous, assiduous, sedulous, finicky, pedantic, exacting"
10,Set 10,Feign,ভান করা,"seems foreign, actually FEIGN",,The dog feigned sleep.,"masquerade, malinger, ostensible, phoney, sham, simulate"
10,Set 10,Furtive,চুপিচুপি,FaRT ive,,Cats walk furtively.,"surreptitious, wily, clandestine, covert, sneaky"
10,Set 10,Hamper,ব্যাহত করা / ঝুড়ি,pampers HAMPERs movement,,This hamper on the footpath is hampering movement.,"basket, hinder, impede, inhibit, balk, thwart, foil"
10,Set 10,Indispensable,অত্যাবশ্যক / অপরিহার্য,INDIa IS SPENd-ABLE,,An inhaler is indispensable for asthma patients.,"vital, imperative, obligatory, acute, paramount"
10,Set 10,Lament,বিলাপ / বিলাপ করা,LA (না) MEanT,,They lamented at the death of the child.,"wail, moaning, weeping, complaint, jeremiad, mourn, bewail"
10,Set 10,Myopic,ক্ষীণদৃষ্ট / সংকীর্ণমনা,MY OPaque lens,,My opaque lens makes me myopic.,"insular, parochial, provincial"
10,Set 10,Nonchalant,অমনোযোগী / উদাসীন / নির্লিপ্ত,NO চালান,,Naveed Mahbub's comedy makes me nonchalant.,"airy, dispassionate, detached, apathetic, insouciant"
10,Set 10,Partial,আংশিক / পক্ষপাতিত্ব,PART (আংশিক) TrIAL,,The judge was not partial.,"fragmentary, prejudiced, partisan, slanted, skewed, coloured, jaundiced, inequitable"
10,Set 10,Pensive,চিন্তাশীল,PEN মুখে tENSIVE চিন্তা,,He was pensive for a long time.,"contemplative, cogitative, ruminative, wistful, melancholy, ruminant"
10,Set 10,Portend,ইঙ্গিত করা / ভবিষ্যদ্বাণী করা,ঝড়ে PORT উড়ে END,,Red beard and blue eyes portend the Devil.,"presage, augur, foreshadow, foretell, herald, harbinger"
10,Set 10,Provincial,প্রাদেশিক / আঞ্চলিক / গ্রাম্য,Prince of a Province,,I liked the provincial government's autonomy.,"parochial, suburban, insular, limited, localist, bigoted, prejudiced, intolerant, jerkwater"
10,Set 10,Rudimentary,প্রাথমিক / অপূর্ণাঙ্গ,kids in eleMENTARY class,,"When baseball was in its rudimentary stages, different teams played by different rules.","primitive, vestigial, fundamental, abortive, obsolete"
10,Set 10,Salutary,স্বাস্থ্যবর্ধক,সালাদ এর কারি,,Green salad is salutary.,"salubrious, profitable"
10,Set 10,Sever,বিচ্ছিন্ন করা,"If you've a fever, please SEVER",,No one could be so cruel as to sever such a deep bond.,"amputate, sunder, terminate, cleave"
10,Set 10,Slight,ছোট / তাচ্ছিল্য করা,SLap tIGHT,,That slight evidence could slight Pori Moni.,"scant, minuscule, exiguous, superficial, trifling, trivial"
10,Set 10,Somnolent,তন্দ্রাচ্ছন্ন,স্বপ্ন / SOM NO LENT,,The sound had a somnolent effect.,"languid, lethargic, torpid, oscitant, tranquil"
10,Set 10,Stoic,কষ্টসহিষ্ণু ও নির্লিপ্ত,STOne-like,,I'm really trying to remain stoic and unaffected.,imperturbable
10,Set 10,Supersede,প্রতিস্থাপিত করা,SUPER SEed,,The 5th edition of the Manhattan 5lb book superseded the 4th edition.,"supplant, oust, override"
10,Set 10,Tout,দালাল / দালালি করা,shOUT to promote,,Bratya Raisu is a tout of pseudo-intellectuality who keeps touting his knowledge.,"endorse, urge, flaunt, advertise, publicize"
10,Set 10,Wane,ক্ষয় / পতন হওয়া,Wane is the antonym of gain,,I kept cycling for a few days before my interest waned.,"evanesce, remit, ebb, atrophy, attenuate, abate, evaporate, taper off"
11,Set 11,Abhor,ঘৃণা করা,ABsolute HORrible,,She abhors any form of cruelty to animals.,"abominate, execrate, disdain, loathe"
11,Set 11,Boisterous,হইচইপূর্ণ / কোলাহলপূর্ণ,BoyS on STEReO,,The boisterous crowd cheered after the goal.,"exuberant, frisky, ebullient, tumultuous, clamorous, clangorous, animated, spirited"
11,Set 11,Chivalrous,সাহসী / বীরোচিত,CHe was VALROUS (সাহসী),,He made a chivalrous gesture and opened the door for her.,"bold, gallant, urbane, intrepid"
11,Set 11,Churlish,উদ্ধত / অভদ্র,Prince CHURLS was rude with Diana,,It would be churlish to refuse such a kind offer.,"boorish, loutish, uncharitable, surly, sullen"
11,Set 11,Clandestine,গোপনীয় / লুকায়িত,Confidential LAND mINE,,The spies held a clandestine meeting at midnight.,"covert, furtive, surreptitious"
11,Set 11,Complacent,আত্মতুষ্ট,COMplete PLACEmENT এর সন্তুষ্টি,,Success made the team complacent and careless.,"smug, gloating, triumphant, gratified, content"
11,Set 11,Cumbersome,কষ্টসাধ্য / জটিল,CoMe BEar SOME,,The old software was slow and cumbersome to use.,"complex, inefficient, wasteful, slow, unwieldy, inapt"
11,Set 11,Debilitating,দুর্বলকারী,DEBT is eATING all energy,,A debilitating illness kept him bedridden for months.,"enfeebling, enervating, prostrating, sapping"
11,Set 11,Deliberate,ইচ্ছাকৃত,DELIvEry RATE ইচ্ছাকৃতভাবে কম,,"Her insult was clearly deliberate, not accidental.","conscious, wilful, wanton, aforethought, systematic, painstaking, meticulous"
11,Set 11,Droll,হাস্যরসিক,tROLL is comical,,"He told the story in a droll, deadpan manner.","zany, quirky, eccentric, ludicrous, jocular, facetious, whimsical, humorous"
11,Set 11,Eccentric,উদ্ভট,EC (কমিশনার) CENTRIC,,The eccentric inventor lived alone with fifty clocks.,"aberrant, anomalous, idiosyncratic, quirky, capricious, whimsical, avant-garde"
11,Set 11,Fractious,ঝগড়াটে / নিয়ন্ত্রণের বাইরে,মারামারি করে FRACTure,,The fractious committee could not agree on anything.,"peevish, pettish, irascible, waspish, ornery, wayward, obdurate"
11,Set 11,Limpid,পরিষ্কার / স্বচ্ছ,LucID liquID,,The limpid water revealed pebbles on the streambed.,"lucid, intelligible, perceptible, coherent, luminous, pellucid"
11,Set 11,Mawkish,বিরক্তিকর ভাবপ্রবণ / বাড়াবাড়ি আবেগ,MA এর KISs,,The film's mawkish ending felt forced and sentimental.,maudlin
11,Set 11,Obeisance,প্রণাম / সম্মান,OBEy ANCE (এনেছে),,The crowd made obeisance to the visiting king.,"veneration, deference, reverence, salaam"
11,Set 11,Ostentatious,জাঁকজমকপূর্ণ / নজর কাড়ার ইচ্ছা,OSTEN এর TATtOo,,He drove an ostentatious sports car to impress people.,"pretentious, conspicuous, obtrusive, flamboyant, gaudy, extravagant, baroque"
11,Set 11,Panacea,সর্বরোগের ঔষধ,এশিয়ার পান খেলে সব রোগ ভালো,,Technology is not a panacea for every social problem.,"nostrum, elixir"
11,Set 11,Perfunctory,অবহেলার সাথে দ্রুত করা / বেপরোয়া,PERForm in hurRY,,She gave the report a perfunctory glance and signed it.,"cursory, desultory, superficial, sketchy, mechanical, automatic"
11,Set 11,Perilous,বিপদজনক,প্যারালাইসিস থাকায় বিপদে,,The climbers began a perilous ascent of the cliff.,"treacherous, precarious, dicey, gnarly, parlous"
11,Set 11,Pervasive,ব্যাপ্তিশালী,নদীর পাড় ভাসায় নেওয়া,,Corruption was pervasive throughout the department.,"prevalent, penetrating, ubiquitous, omnipresent, pandemic, insidious"
11,Set 11,Preclude,নিবারণ করা,PREventing from inCLUDE,,His injury does not preclude him from coaching.,"forbid, impede, inhibit"
11,Set 11,Predilection,পক্ষপাত / আগে থেকে পছন্দ,PREDIcteD eLECTION,,She has a predilection for spicy food.,"penchant, proclivity, proneness, affinity"
11,Set 11,Rapacious,হিংস্রভাবে লোভাতুর,RANA প্লাজার preCIOUS ছিনিয়ে নেওয়া,,The rapacious landlord raised the rent every month.,"avaricious, covetous, mercenary, insatiable, voracious, extortionate"
11,Set 11,Relish,আনন্দ / উপভোগ করা,REal ELISH (ইলিশ),,He ate the meal with obvious relish.,"rapture, contentment, gratification, titillation, zest, bask"
11,Set 11,Satirical,ব্যঙ্গাত্মক,SAT to ridicule,,The magazine is famous for its satirical cartoons.,"sardonic, scornful, derisive, trenchant, mordant, acerbic, pungent, cynical, mordacious"
11,Set 11,Sham,নকল,SHAMe that you scam with SHAM,,Their friendship turned out to be a complete sham.,"charlatan, quack, mountebank, phoney, dissemble, fake, fictitious"
11,Set 11,Skirt,এড়িয়ে চলা / কিনারা দিয়ে চলা,SKIp RT (Russia Today),,The politician skirted the difficult question.,"circumnavigate, fringe, dodge, circumvent"
11,Set 11,Sluggish,অলস / মন্থর,SLow-ISH,,Sales were sluggish during the rainy season.,"stagnant, lethargic, torpid, languid, enervated, somnolent, indolent"
11,Set 11,Spartan,কষ্টসহিষ্ণু / অনাড়ম্বর,SPA না করায় TAN থেকে যাওয়া,,The soldiers lived in spartan barracks with few comforts.,"austere, frugal, stringent, arduous, ascetic, abstemious, stark, bare"
11,Set 11,Truculent,নিষ্ঠুর / আক্রমণাত্মক,CrUeL like TRUCk,,The truculent customer argued with every staff member.,"belligerent, pugnacious, bellicose, obstreperous, sullen, scrappy"
12,Set 12,Acrimonious,বদমেজাজি / তিক্ত,A CRIMiNal with US,,The divorce turned into an acrimonious legal battle.,"rancorous, scathing, trenchant, virulent, vitriolic, waspish, pernicious, irascible, mordacious"
12,Set 12,Belligerent,বিবদমান / যুদ্ধংদেহি,BuLLy GER (যার) RENT,,The belligerent nation refused to sign the treaty.,"pugnacious, bellicose, truculent, contentious, irascible"
12,Set 12,Beneficent,উপকারী,BENEFICial + efficiENT,,The beneficent donor funded the entire hospital wing.,"benevolent, altruistic, magnanimous, munificent, benign, indulgent"
12,Set 12,Canny,বিচক্ষণ,CANNY ও CuNNY,,The canny investor sold his shares just before the crash.,"shrewd, astute, acute, sagacious, circumspect, prudent, savvy"
12,Set 12,Cavalier,অশ্বারোহী / রূক্ষ / অবজ্ঞাসূচক,CAVAni LIaR,,He had a cavalier attitude toward deadlines.,"supercilious, haughty, disdainful, scornful, insolent, perfunctory"
12,Set 12,Distress,যন্ত্রণা,DISTurbed with STRESS,,The sinking ship sent out a distress signal.,"perturb, disquiet, agitate, vex, harrowing"
12,Set 12,Dwindling,ক্রমান্বয়ে কমা,Decreasing WIND,,Their savings were dwindling with each passing month.,"waning, plummeting, withering"
12,Set 12,Eclipse,(চাঁদ/সূর্য) গ্রহণ / ছাপিয়ে যাওয়া,E (একটি) CLIP SE,,Her later novels eclipsed her earlier work.,"dwarf, trump, transcend, obscure"
12,Set 12,Encyclopedic,অতি বিস্তৃত তথ্যপূর্ণ,CYCLOne of wikiPEDIA,,He has an encyclopedic knowledge of cricket statistics.,
12,Set 12,Exacerbate,খারাপকে আরও খারাপ করা,EX ACER BeT,,The new tax will only exacerbate the crisis.,"aggravate, inflame, augment"
12,Set 12,Exasperated,বিরক্ত,EX এর সাথে বিরক্ত হয়ে SePaRATED,,The teacher grew exasperated with the noisy class.,"infuriated, incensed, maddened, aggravated"
12,Set 12,Fungible,বিনিময়যোগ্য,Freely exchangeaBLE,,"Money is fungible, since one note is worth the same as another.",
12,Set 12,Hackneyed,বস্তাপচা / গতানুগতিক,HACKs of NagaD,,The plot relied on hackneyed clichés.,"platitudinous, vapid, trite, banal, commonplace, prosaic, pedestrian, humdrum"
12,Set 12,Incongruous,বেমানান / অসামঞ্জস্যপূর্ণ,"IN CONGRess, no OUtsiders",,His cheerful tie looked incongruous at the funeral.,"discordant, dissonant, jarring, extraneous, disparate"
12,Set 12,Interchangeable,বিনিময়যোগ্য / প্রতিস্থাপনযোগ্য,INTER CHANGEABLE,,The two parts are interchangeable and fit either model.,"parallel, analogous, homogeneous, cognate, fungible"
12,Set 12,Laconic,সংক্ষিপ্ত কথা / লেখা,LA COmIC,,"His laconic reply was simply, 'No.'","succinct, economical, elliptical, incisive, compendious, terse, taciturn, reticent, unforthcoming"
12,Set 12,Lucrative,লাভজনক,Lots of attRAcTIVE,,Consulting proved a lucrative side business.,"remunerative, fruitful, advantageous"
12,Set 12,Magisterial,শাসন সংক্রান্ত / আধিপত্যপূর্ণ,only Magistrate is ReAL,,She delivered a magisterial lecture on ancient history.,"autocratic, imperious, pompous, lofty, haughty, supercilious, patronizing, bossy, domineering"
12,Set 12,Onerous,কষ্টসাধ্য,OwNER Of US,,Caring for three toddlers is an onerous task.,"arduous, strenuous, laborious, Herculean, gruelling, toilsome, exigent, burdensome"
12,Set 12,Opprobrium,নিন্দা / অপমান,OPPO BRIng,,The scandal brought public opprobrium on the minister.,"vilification, vituperation, castigation, denunciation, reviling, calumny, execration, excoriation, lambasting, ignominy"
12,Set 12,Parsimonious,মিতব্যয়ী / কৃপণ,PuRSe MONey,,He was too parsimonious to heat the house in winter.,"miserly, penurious, frugal, stingy"
12,Set 12,Peripheral,সীমান্তবর্তী / প্রান্তীয়,PERIPHERy area,,That issue is peripheral to our main goal.,"incidental, tangential, superficial, extraneous"
12,Set 12,Provocative,উত্তেজক / উসকানিমূলক,PROVOke to be AcTIVE,,The columnist made a deliberately provocative claim.,"exasperating, infuriating, maddening, vexing, galling, incendiary, aggravating"
12,Set 12,Renounce,অস্বীকার / বর্জন করা,RE-aNNOUNCE,,The prince renounced his claim to the throne.,"eschew, abdicate, repudiate"
12,Set 12,Tempestuous,উগ্র / অশান্ত,TEMPu STUdent,,"They had a tempestuous, on-again-off-again relationship.","turbulent, tumultuous, feverish, frantic, mercurial, capricious, erratic"
12,Set 12,Tenable,অখণ্ডনীয় / সমর্থনযোগ্য,TEN people are ABLE to understand,,His theory is no longer tenable after the new findings.,"defensible, justifiable, rational, plausible, credible"
12,Set 12,Transgression,সীমালঙ্ঘন,TRANS দের aGRESSION,,A minor transgression cost him his membership.,"misdemeanour, vice, indiscretion, mischief, wickedness, contravention, infraction"
12,Set 12,Urbane,শহুরে / মার্জিত,URBAN,,The urbane host made every guest feel at ease.,"debonair, worldly, glib, gallant, affable, tactful, sophisticated, cultured, polished, refined"
12,Set 12,Verisimilitude,সত্যতা / বাস্তবানুগতা,VERy SIMILIar attiTUDE,,The film's costumes add verisimilitude to the period setting.,
12,Set 12,Vitiate,খারাপ / নষ্ট করা,VITI (ভীতি) ATE,,One false statement can vitiate the entire contract.,spoil
13,Set 13,Affinity,আত্মীয়তা / বন্ধন,AFter FINance ITY (ইতি),,She felt a natural affinity for children.,"empathy, rapport, accord, propinquity"
13,Set 13,Altruistic,নিঃস্বার্থ / উদার,ALl is TRUE who STICks with truth,,His altruistic work earned him a community award.,"magnanimous, benevolent, beneficent, philanthropic, bounteous"
13,Set 13,Baroque,জাঁকজমকপূর্ণ,BAR এর রক মিউজিক,,"The palace was decorated in an ornate, baroque style.","ostentatious, flamboyant, grandiloquent, rhetorical, bombastic, convoluted, aureate"
